order_id,order_sent,order_req,type,sales,customer_id,product_id,perprice,qty,qty_req
TRXINV1G1O0044,2016-01-05,2016-01-05,DO,1HER2,1,2,1549000,5,5
TRXINV1G1O0044,2016-01-05,2016-01-05,DO,1HER2,1,3,2227000,5,5
TRXINV1G1O0044,2016-01-05,2016-01-05,DO,1HER2,1,4,1175000,6,6
TRXINV1G1O0045,2016-01-05,2016-01-05,DO,1HER2,1,5,1564000,5,5
TRXINV1G1O0046,2016-01-05,2016-01-05,DO,1HER2,1,7,3226000,2,2
TRXINV1G1O0046,2016-01-05,2016-01-05,DO,1HER2,1,8,1641000,2,2
TRXINV1G1O0046,2016-01-05,2016-01-05,DO,1HER2,1,6,4121000,2,2
TRXINV1FCO0831,2016-01-06,2015-12-31,DO,1HER2,1,1,1549000,5,5
TRXINVBFCO0076,2016-01-06,2015-12-31,DO,BWAN,188,51,1129000,2,2
TRXINVCFCO0046,2016-01-09,2015-12-31,DO,CABD,193,17,439000,100,100
TRXINVCFCO0046,2016-01-09,2015-12-31,DO,CABD,193,18,439000,100,100
TRXINVCFCO0046,2016-01-09,2015-12-31,DO,CABD,193,19,439000,100,100
TRXINV7G1O0023,2016-01-12,2016-01-11,DO,7SUA,162,25,1918667,5,5
TRXINV7G1O0023,2016-01-12,2016-01-11,DO,7SUA,162,26,1945667,2,2
TRXINV7G1O0023,2016-01-12,2016-01-11,DO,7SUA,162,100,1945667,5,5
TRXINV7G1O0024,2016-01-12,2016-01-11,DO,7SUA,162,23,2013667,5,5
TRXINV7G1O0024,2016-01-12,2016-01-11,DO,7SUA,162,101,2039667,5,5
TRXINV7G1O0024,2016-01-12,2016-01-11,DO,7SUA,162,102,2039667,3,3
TRXINV7G1O0025,2016-01-12,2016-01-11,DO,7SUA,162,50,2953445,2,2
TRXINV7G1O0025,2016-01-12,2016-01-11,DO,7SUA,162,49,2909445,2,2
TRXINV7G1O0025,2016-01-12,2016-01-11,DO,7SUA,162,33,2953445,2,2
TRXINVGFCO0119,2016-01-12,2015-12-31,DO,GFER,212,447,814770,2,2
TRXINVGFCO0119,2016-01-12,2015-12-31,DO,GFER,212,379,315810,3,3
TRXINVGFCO0119,2016-01-12,2015-12-31,DO,GFER,212,441,300960,3,3
TRXINVGFCO0119,2016-01-12,2015-12-31,DO,GFER,212,448,1054350,1,1
TRXINV9G1O0065,2016-01-13,2016-01-13,DO,9SUD,171,378,356000,12,12
TRXINV9G1O0065,2016-01-13,2016-01-13,DO,9SUD,171,12,360000,12,12
TRXINV9G1O0065,2016-01-13,2016-01-13,DO,9SUD,171,59,135000,4,4
TRXINV9G1O0065,2016-01-13,2016-01-13,DO,9SUD,171,114,396000,12,12
TRXINV9G1O0065,2016-01-13,2016-01-13,DO,9SUD,171,361,356000,12,12
TRXINV9G1O0066,2016-01-13,2016-01-13,DO,9SUD,171,177,279000,6,6
TRXINV9G1O0066,2016-01-13,2016-01-13,DO,9SUD,171,11,279000,6,6
TRXINV9G1O0066,2016-01-13,2016-01-13,DO,9SUD,171,18,450000,12,12
TRXINV9G1O0066,2016-01-13,2016-01-13,DO,9SUD,171,176,279000,6,6
TRXINV7G1O0027,2016-01-14,2016-01-12,DO,7SUA,162,15,425000,10,10
TRXINV7G1O0027,2016-01-14,2016-01-12,DO,7SUA,162,18,425000,30,30
TRXINV7G1O0027,2016-01-14,2016-01-12,DO,7SUA,162,16,425000,10,10
TRXINV5G1O0042,2016-01-15,2016-01-12,DO,5YUL,126,8,1675000,10,10
TRXINV5G1O0043,2016-01-15,2016-01-12,DO,5YUL,126,39,1163461,5,5
TRXINV1G1O0552,2016-01-19,2016-01-18,DO,1STA,2,9,1359000,4,4
TRXINV1G1O0552,2016-01-19,2016-01-18,DO,1STA,2,10,647000,6,6
TRXINV1G1O0552,2016-01-19,2016-01-18,DO,1STA,2,11,224000,5,5
TRXINV1G1O0552,2016-01-19,2016-01-18,DO,1STA,2,12,319000,12,12
TRXINV1G1O0553,2016-01-19,2016-01-18,DO,1STA,2,16,396000,10,10
TRXINV1G1O0553,2016-01-19,2016-01-18,DO,1STA,2,15,396000,10,10
TRXINV1G1O0553,2016-01-19,2016-01-18,DO,1STA,2,14,319000,30,30
TRXINV1G1O0553,2016-01-19,2016-01-18,DO,1STA,2,13,319000,16,16
TRXINV1G1O0554,2016-01-19,2016-01-18,DO,1STA,2,17,396000,4,4
TRXINV1G1O0555,2016-01-19,2016-01-18,DO,1STA,2,18,396000,10,10
TRXINV1G1O0555,2016-01-19,2016-01-18,DO,1STA,2,19,396000,20,20
TRXINV1G1O0616,2016-01-20,2016-01-19,DO,1HER2,1,21,1170000,5,5
TRXINV1G1O0616,2016-01-20,2016-01-19,DO,1HER2,1,20,2104000,5,5
TRXINV1G1O0616,2016-01-20,2016-01-19,DO,1HER2,1,3,2227000,5,5
TRXINV1G1O0667,2016-01-20,2016-01-19,DO,1HER2,1,12,351000,10,10
TRXINV1G1O0667,2016-01-20,2016-01-19,DO,1HER2,1,13,351000,10,10
TRXINV1G1O0667,2016-01-20,2016-01-19,DO,1HER2,1,16,436000,7,7
TRXINV1G1O0668,2016-01-20,2016-01-19,DO,1HER2,1,19,436000,6,6
TRXINV1G1O0668,2016-01-20,2016-01-19,DO,1HER2,1,18,436000,7,7
TRXINV1G1O0668,2016-01-20,2016-01-19,DO,1HER2,1,11,250000,15,15
TRXINV1G1O0669,2016-01-20,2016-01-19,DO,1HER2,1,6,4121000,1,1
TRXINV1G1O0669,2016-01-20,2016-01-19,DO,1HER2,1,22,1887000,1,1
TRXINV1G1O0669,2016-01-20,2016-01-19,DO,1HER2,1,23,1887000,1,1
TRXINV1G1O0706,2016-01-20,2016-01-20,DO,1HER2,1,26,1829000,2,2
TRXINV1G1O0706,2016-01-20,2016-01-20,DO,1HER2,1,25,1803000,2,2
TRXINV1G1O0706,2016-01-20,2016-01-20,DO,1HER2,1,24,1803000,2,2
TRXINV1G1O0918,2016-01-25,2016-01-25,DO,1HER2,1,4,1175000,6,6
TRXINV1G1O0918,2016-01-25,2016-01-25,DO,1HER2,1,5,1564000,3,3
TRXINV9G1O0213,2016-01-26,2016-01-26,DO,9SUD,171,10,735000,4,4
TRXINV9G1O0213,2016-01-26,2016-01-26,DO,9SUD,171,56,535000,4,4
TRXINV9G1O0213,2016-01-26,2016-01-26,DO,9SUD,171,59,135000,24,24
TRXINV9G1O0213,2016-01-26,2016-01-26,DO,9SUD,171,121,735000,4,4
TRXINV9G1O0213,2016-01-26,2016-01-26,DO,9SUD,171,57,535000,4,4
TRXINV9G1O0214,2016-01-26,2016-01-26,DO,9SUD,171,79,360000,3,3
TRXINV9G1O0214,2016-01-26,2016-01-26,DO,9SUD,171,329,360000,3,3
TRXINV9G1O0214,2016-01-26,2016-01-26,DO,9SUD,171,99,475000,6,6
TRXINV9G1O0215,2016-01-26,2016-01-26,DO,9SUD,171,74,370000,12,12
TRXINV9G1O0215,2016-01-26,2016-01-26,DO,9SUD,171,417,498000,12,12
TRXINV9G1O0215,2016-01-26,2016-01-26,DO,9SUD,171,13,360000,12,12
TRXINV9G1O0215,2016-01-26,2016-01-26,DO,9SUD,171,276,498000,12,12
TRXINV5G1O0094,2016-01-28,2016-01-22,DO,5YUL,126,388,2111536,10,10
TRXINV5G1O0132,2016-01-28,2016-01-26,DO,5YUL,126,41,1144435,10,10
TRXINV5G1O0133,2016-01-28,2016-01-26,DO,5YUL,126,363,2606000,10,10
TRXINV5G1O0140,2016-01-28,2016-01-26,DO,5YUL,126,388,2111536,5,5
TRXINVBG2O0006,2016-02-01,2016-01-27,DO,BWAN,189,28,2346000,2,2
TRXINVBG2O0006,2016-02-01,2016-01-27,DO,BWAN,189,8,1773000,2,2
TRXINVBG2O0006,2016-02-01,2016-01-27,DO,BWAN,189,61,2042000,2,2
TRXINVBG2O0006,2016-02-01,2016-01-27,DO,BWAN,189,86,1894000,1,1
TRXINVBG2O0007,2016-02-01,2016-01-27,DO,BWAN,189,4,1235000,5,5
TRXINV1G1O1236,2016-02-03,2016-01-27,DO,1ALE1,3,32,1478000,2,2
TRXINV1G1O1236,2016-02-03,2016-01-27,DO,1ALE1,3,31,1130000,2,2
TRXINV1G1O1236,2016-02-03,2016-01-27,DO,1ALE1,3,24,1803000,1,1
TRXINV5G1O0175,2016-02-03,2016-01-27,DO,5YUL,127,35,1359227,5,5
TRXINVCG1O0035,2016-02-03,2016-01-25,DO,CABD,193,3,2727000,15,15
TRXINV5G1O0141,2016-02-04,2016-01-26,DO,5YUL,126,83,2610000,5,5
TRXINV5G1O0143,2016-02-04,2016-01-27,DO,5YUL,126,4,2558000,15,30
TRXINV5G1O0164,2016-02-04,2016-01-27,DO,5YUL,126,41,1144435,15,15
TRXINV1G1O1162,2016-02-05,2016-01-27,DO,1HER2,1,30,2227000,4,4
TRXINV1G1O1162,2016-02-05,2016-01-27,DO,1HER2,1,29,2104000,4,4
TRXINV1G1O1162,2016-02-05,2016-01-27,DO,1HER2,1,28,2104000,4,4
TRXINV1G1O1162,2016-02-05,2016-01-27,DO,1HER2,1,27,2067000,4,4
TRXINV1G1O1162,2016-02-05,2016-01-27,DO,1HER2,1,3,2227000,4,4
TRXINVGG2O0019,2016-02-09,2016-02-04,DO,GKRIS,212,3,2395000,1,1
TRXINVGG2O0019,2016-02-09,2016-02-04,DO,GKRIS,212,39,1385000,1,1
TRXINVBG2O0021,2016-02-15,2016-02-11,DO,BWAN,189,3,2264000,2,2
TRXINV5G2O0007,2016-02-16,2016-02-04,DO,5YUL,126,27,2153000,2,2
TRXINV5G2O0032,2016-02-16,2016-02-10,DO,5YUL,126,389,4091000,5,5
TRXINV5G2O0052,2016-02-16,2016-02-12,DO,5YUL,126,52,1693000,20,20
TRXINV5G2O0073,2016-02-16,2016-02-15,DO,5YUL,126,31,1199476,2,2
TRXINV6G2O0042,2016-02-16,2016-02-16,DO,6EDY,149,23,2085000,2,2
TRXINV6G2O0042,2016-02-16,2016-02-16,DO,6EDY,149,26,2015000,1,1
TRXINV6G2O0042,2016-02-16,2016-02-16,DO,6EDY,149,25,1990000,1,1
TRXINV1G2O0490,2016-02-17,2016-02-16,DO,1HER2,1,34,3154000,3,3
TRXINV1G2O0490,2016-02-17,2016-02-16,DO,1HER2,1,33,2752000,3,3
TRXINV1G2O0490,2016-02-17,2016-02-16,DO,1HER2,1,7,3206000,3,3
TRXINV1G2O0491,2016-02-17,2016-02-16,DO,1HER2,1,4,1155000,5,5
TRXINV1G2O0491,2016-02-17,2016-02-16,DO,1HER2,1,35,1376000,5,5
TRXINV1G2O0491,2016-02-17,2016-02-16,DO,1HER2,1,36,1155000,5,5
TRXINV3G200028,2016-02-17,2016-02-13,DO,3ONI,116,66,414000,20,20
TRXINVBG2O0029,2016-02-17,2016-02-17,DO,BWAN,189,427,4923000,5,5
TRXINV7G2O0023,2016-02-18,2016-02-17,DO,7YUS,162,39,1288000,8,8
TRXINV7G2O0023,2016-02-18,2016-02-17,DO,7YUS,162,40,1288000,8,8
TRXINV9G2O0132,2016-02-19,2016-02-19,DO,9SUD,171,59,135000,12,12
TRXINV9G2O0132,2016-02-19,2016-02-19,DO,9SUD,171,214,335000,12,12
TRXINV9G2O0132,2016-02-19,2016-02-19,DO,9SUD,171,114,396000,12,12
TRXINV9G2O0132,2016-02-19,2016-02-19,DO,9SUD,171,74,370000,12,12
TRXINV9G2O0132,2016-02-19,2016-02-19,DO,9SUD,171,16,450000,12,12
TRXINV3G200042,2016-02-20,2016-02-19,DO,3ONI,116,79,313000,30,30
TRXINV1G2O0830,2016-02-24,2016-02-23,DO,1STA,2,38,396000,20,20
TRXINV1G2O0830,2016-02-24,2016-02-23,DO,1STA,2,37,2083333,2,2
TRXINV1G2O0830,2016-02-24,2016-02-23,DO,1STA,2,16,396000,10,10
TRXINV1G2O0830,2016-02-24,2016-02-23,DO,1STA,2,14,319000,10,10
TRXINV5G2O0049,2016-02-24,2016-02-10,DO,5YUL,126,52,1693000,10,10
TRXINV5G2O0070,2016-02-24,2016-02-15,DO,5YUL,126,4,1279000,7,7
TRXINV5G2O0070,2016-02-24,2016-02-15,DO,5YUL,126,36,1279000,8,8
TRXINV9G2O0289,2016-02-24,2016-02-24,DO,9SUD,171,395,307000,12,12
TRXINV9G2O0289,2016-02-24,2016-02-24,DO,9SUD,171,285,396000,12,12
TRXINV9G2O0289,2016-02-24,2016-02-24,DO,9SUD,171,74,370000,12,12
TRXINV9G2O0289,2016-02-24,2016-02-24,DO,9SUD,171,19,450000,12,12
TRXINV9G2O0290,2016-02-24,2016-02-24,DO,9SUD,171,79,360000,6,6
TRXINV9G2O0290,2016-02-24,2016-02-24,DO,9SUD,171,419,450000,3,3
TRXINV9G2O0290,2016-02-24,2016-02-24,DO,9SUD,171,329,360000,6,6
TRXINV9G2O0290,2016-02-24,2016-02-24,DO,9SUD,171,418,450000,3,3
TRXINV9G2O0290,2016-02-24,2016-02-24,DO,9SUD,171,66,450000,3,3
TRXINV9G2O0292,2016-02-24,2016-02-24,DO,9SUD,171,99,475000,6,6
TRXINV9G2O0292,2016-02-24,2016-02-24,DO,9SUD,171,69,295000,12,12
TRXINV9G2O0304,2016-02-24,2016-02-24,DO,9SUD,171,214,335000,12,12
TRXINV1G2O0842,2016-02-25,2016-02-24,DO,1STA,2,39,1187000,2,2
TRXINV1G2O0842,2016-02-25,2016-02-24,DO,1STA,2,40,1187000,1,1
TRXINV1G2O0842,2016-02-25,2016-02-24,DO,1STA,2,41,1187000,2,2
TRXINVHG2O0052,2016-02-26,2016-02-23,DO,HSIG,216,3,2209000,6,6
TRXINVHG2O0062,2016-02-26,2016-02-24,DO,HSIG,216,16,423000,10,10
